City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
0,Port Alfred,ZA,61.0,few clouds,-33.5906,26.891,The Halyards Hotel
3,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
4,Fare,PF,81.28,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
6,Bajil,YE,71.19,clear sky,15.0584,43.2851,شبكة ماكس نت MAX WIFI
7,Riyadh,SA,62.6,clear sky,24.6877,46.7219,InterContinental Riyadh
10,Zwedru,LR,72.66,few clouds,6.0667,-8.1281,Elijah Worjloh
13,Carnarvon,AU,75.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
21,Busselton,AU,70.0,broken clouds,-33.65,115.3333,Observatory Guest House
23,Rikitea,PF,79.72,light rain,-23.1203,-134.9692,Pension Maro'i
27,Kawalu,ID,78.46,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
28,Necochea,AR,63.0,light rain,-38.5473,-58.7368,dyd -mar Hotel
30,Kouango,CF,73.49,overcast clouds,4.9934,19.9619,
31,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
32,Samarai,PG,80.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
34,New Norfolk,AU,64.99,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
37,Caravelas,BR,75.96,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
38,Quelimane,MZ,74.1,broken clouds,-17.8786,36.8883,Hotel Flamingo
39,Praia Da Vitoria,PT,62.6,few clouds,38.7333,-27.0667,Hotel Branco I
40,Ribeira Grande,PT,61.38,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
41,Faanui,PF,81.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Scoop Guest House
46,Merritt Island,US,77.0,broken clouds,28.5392,-80.672,
47,Codrington,AU,76.41,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
48,Bauta,CU,77.0,few clouds,22.9828,-82.5464,El Refugio
49,Santa Rosa Del Sur,CO,74.93,overcast clouds,7.9644,-74.0544,Hotel hoquidea del sur
52,Trincomalee,LK,77.94,broken clouds,8.5711,81.2335,Welcombe Hotel
53,Mount Gambier,AU,71.6,overcast clouds,-37.8333,140.7667,Commodore on the Park
56,Tessalit,ML,63.48,clear sky,20.1986,1.0114,
59,Cape Town,ZA,64.99,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
64,Atuona,PF,78.71,clear sky,-9.8,-139.0333,Villa Enata
65,Nagua,DO,72.14,clear sky,19.3832,-69.8474,Hotel Cambri
66,Vaini,TO,73.4,heavy intensity rain,-21.2,-175.2,Keleti Beach Resort
67,Puerto Ayora,EC,78.01,few clouds,-0.7393,-90.3518,Castillo Galapagos
68,Soyo,AO,79.72,moderate rain,-6.1349,12.3689,Hotel Mpampa
69,Bengkulu,ID,76.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Mandurah,AU,64.99,clear sky,-32.55,115.7,Atrium Hotel Mandurah
74,Lazaro Cardenas,MX,76.28,few clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
80,Banjar,ID,84.2,scattered clouds,-8.19,114.9675,The Hamsa Resort
82,Cidreira,BR,73.96,overcast clouds,-30.1811,-50.2056,Hotel Castelo
83,Bambous Virieux,MU,75.99,few clouds,-20.3428,57.7575,Casa Tia Villa
84,Rach Gia,VN,75.2,scattered clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
85,Dong Hoi,VN,70.5,overcast clouds,17.4833,106.6,Nam Long Hotel
89,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
91,Arraial Do Cabo,BR,77.34,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Castro,BR,65.88,light rain,-24.7911,-50.0119,CHACARA BAILLY
95,Padang,ID,73.4,broken clouds,-0.9492,100.3543,Mercure Padang
96,Tsaratanana,MG,72.88,broken clouds,-16.7833,47.65,
99,Hobart,AU,64.99,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
100,Ponta Delgada,PT,63.0,broken clouds,37.7333,-25.6667,Vila Nova Hotel
103,Oriximina,BR,76.17,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
104,Airai,TL,63.23,light rain,-8.9266,125.4092,Juvinal Martin
109,Sao Joao Da Barra,BR,77.81,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
111,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Sinnamary,GF,76.46,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
121,Kapaa,US,75.99,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
122,Trabzon,TR,60.8,broken clouds,40.9167,39.8333,SANDALS HOTEL
127,Kaohsiung,TW,63.0,mist,22.6163,120.3133,Kindness Hotel
128,Bima,ID,82.49,overcast clouds,-8.4667,118.7167,Lambitu Hotel
133,Mahebourg,MU,73.4,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
