City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Evensk,RU,2021-01-26 18:55:17,61.95,159.2333,2.28,87,100,10.8
1,Chokurdakh,RU,2021-01-26 18:55:17,70.6333,147.9167,-30.86,80,100,5.59
2,Avarua,CK,2021-01-26 18:55:17,-21.2078,-159.775,82.4,74,86,16.11
3,Rikitea,PF,2021-01-26 18:54:09,-23.1203,-134.9692,79.84,71,79,13.22
4,Leshukonskoye,RU,2021-01-26 18:55:17,64.8989,45.7622,33.35,98,100,4.21
5,Bredasdorp,ZA,2021-01-26 18:55:17,-34.5322,20.0403,68.0,68,0,6.91
6,Hobart,AU,2021-01-26 18:54:09,-42.8794,147.3294,51.8,62,40,9.22
7,Punta Arenas,CL,2021-01-26 18:53:06,-53.15,-70.9167,50.0,53,20,27.63
8,Dauphin,CA,2021-01-26 18:55:18,51.1494,-100.0502,-14.8,70,1,3.44
9,Avera,US,2021-01-26 18:55:18,33.194,-82.5271,71.01,90,75,6.91
10,Merke,KZ,2021-01-26 18:54:12,42.8728,73.1786,20.7,78,0,3.27
11,Tulum,MX,2021-01-26 18:55:18,20.2167,-87.4667,84.0,74,40,12.66
12,Ushuaia,AR,2021-01-26 18:55:19,-54.8,-68.3,44.6,65,90,34.52
13,Bundaberg,AU,2021-01-26 18:55:19,-24.85,152.35,71.01,88,33,8.05
14,Shakhtinsk,KZ,2021-01-26 18:55:19,49.71,72.5872,19.4,86,90,13.42
15,Bengkulu,ID,2021-01-26 18:50:24,-3.8004,102.2655,73.85,91,100,2.62
16,Namatanai,PG,2021-01-26 18:51:36,-3.6667,152.4333,79.95,80,100,6.13
17,Benghazi,LY,2021-01-26 18:55:19,32.1167,20.0667,64.06,70,100,23.87
18,Hami,CN,2021-01-26 18:55:20,42.8,93.45,20.25,80,17,8.23
19,Pevek,RU,2021-01-26 18:55:20,69.7008,170.3133,-30.64,84,15,2.59
20,Rawson,AR,2021-01-26 18:50:45,-43.3002,-65.1023,73.02,23,91,15.55
21,Vila Velha,BR,2021-01-26 18:50:47,-20.3297,-40.2925,88.0,58,20,18.41
22,Qaanaaq,GL,2021-01-26 18:55:20,77.484,-69.3632,-10.05,63,0,7.94
23,Hope,US,2021-01-26 18:55:20,33.6671,-93.5916,66.0,45,0,4.0
24,Lavrentiya,RU,2021-01-26 18:55:20,65.5833,-171.0,-2.65,88,89,5.95
25,Mayo,US,2021-01-26 18:55:21,38.8876,-76.5119,36.0,93,90,4.61
26,Pisco,PE,2021-01-26 18:55:21,-13.7,-76.2167,78.8,57,0,20.71
27,Souillac,MU,2021-01-26 18:55:21,-20.5167,57.5167,77.0,78,20,6.91
28,Poum,NC,2021-01-26 18:54:27,-20.2333,164.0167,79.79,76,100,14.29
29,Carnarvon,AU,2021-01-26 18:55:21,-24.8667,113.6333,71.6,68,0,23.02
30,Dikson,RU,2021-01-26 18:54:42,73.5069,80.5464,-24.14,85,100,8.05
31,Tuktoyaktuk,CA,2021-01-26 18:53:32,69.4541,-133.0374,-13.0,84,75,14.97
32,Puerto Baquerizo Moreno,EC,2021-01-26 18:55:22,-0.9,-89.6,82.4,83,75,13.8
33,Arraial Do Cabo,BR,2021-01-26 18:55:22,-22.9661,-42.0278,89.6,58,0,8.05
34,Labuhan,ID,2021-01-26 18:55:22,-6.8844,112.2051,77.9,85,66,11.03
35,Hilo,US,2021-01-26 18:55:22,19.7297,-155.09,75.2,78,90,3.44
36,Cherskiy,RU,2021-01-26 18:55:22,68.75,161.3,-36.26,81,96,4.25
37,Nikolskoye,RU,2021-01-26 18:55:22,59.7035,30.7861,35.6,87,90,11.18
38,Saint-Philippe,RE,2021-01-26 18:55:23,-21.3585,55.7679,78.8,73,0,6.91
39,Busselton,AU,2021-01-26 18:55:23,-33.65,115.3333,54.0,91,77,7.9
40,Garissa,KE,2021-01-26 18:54:11,-0.4536,39.6401,86.13,32,0,5.23
41,Bluff,NZ,2021-01-26 18:54:49,-46.6,168.3333,69.01,53,100,14.0
42,Puerto Ayora,EC,2021-01-26 18:55:23,-0.7393,-90.3518,84.2,70,40,14.97
43,Aksu,CN,2021-01-26 18:55:24,41.1231,80.2644,18.05,86,0,0.07
44,Kavaratti,IN,2021-01-26 18:55:24,10.5669,72.642,81.07,69,0,9.4
45,Luderitz,NA,2021-01-26 18:54:14,-26.6481,15.1594,68.88,65,75,26.8
46,Mataura,NZ,2021-01-26 18:55:24,-46.1927,168.8643,69.01,53,100,14.0
47,Saint George,US,2021-01-26 18:55:24,37.1041,-113.5841,35.6,55,1,4.61
